Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1944-01-01 - 2025-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Monatsmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-08-01 00:00:00;1955-08-31 12:00:00;14.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-09-01 00:00:00;1955-09-01 12:00:00;10.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-10-01 00:00:00;1955-10-01 12:00:00;1.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-11-01 00:00:00;1955-11-06 12:00:00;0.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1955-12-01 00:00:00;1955-12-29 12:00:00;0.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-01-01 00:00:00;1956-01-27 12:00:00;0.900;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-02-01 00:00:00;1956-02-01 12:00:00;0.220;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-03-01 00:00:00;1956-03-31 12:00:00;0.930;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-04-01 00:00:00;1956-04-15 12:00:00;1.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-05-01 00:00:00;1956-05-30 12:00:00;6.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-06-01 00:00:00;1956-06-07 12:00:00;7.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-07-01 00:00:00;1956-07-11 12:00:00;11.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-08-01 00:00:00;1956-08-27 12:00:00;12.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-09-01 00:00:00;1956-09-03 12:00:00;11.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-10-01 00:00:00;1956-10-03 12:00:00;2.800;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-11-01 00:00:00;1956-11-01 12:00:00;0.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1956-12-01 00:00:00;1956-12-01 12:00:00;0.370;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1957-01-01 00:00:00;1957-01-06 12:00:00;0.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1957-02-01 00:00:00;1957-02-25 12:00:00;1.900;Freigegeben, validierte Daten
