;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;250;2019,6849;0,4493;0,0522;0,0077;5676984;2043711;449778
;251;2019,6876;0,0001;0,0000;0,0000;5676984;2043711;449778
;252;2019,6904;0,0053;0,0000;0,0000;5676984;2043711;449778
;253;2019,6931;0,6395;0,1185;0,0405;5687219;2047209;449778
;254;2019,6959;1,5146;0,2113;0,0197;5705472;2048913;449778
;255;2019,6986;2,0094;0,2886;0,0296;5730405;2051469;449778
;256;2019,7014;2,7093;0,3978;0,0434;5764773;2055221;449778
;257;2019,7041;3,0349;0,4471;0,0480;5803401;2059367;449778
;258;2019,7069;3,1405;0,4623;0,0483;5843340;2063543;449778
;259;2019,7096;3,1031;0,4546;0,0453;5882615;2067455;449778
;260;2019,7123;2,9279;0,4256;0,0397;5919391;2070887;449778
;261;2019,7151;1,4622;0,2007;0,0141;5936728;2072109;449778
;262;2019,7178;1,2424;0,1672;0,0104;5951178;2073009;449778
;263;2019,7206;1,4259;0,1954;0,0133;5968060;2074156;449778
;264;2019,7233;2,0633;0,2927;0,0231;5993347;2076154;449778
;265;2019,7261;3,3838;0,5836;0,1433;6043771;2088537;449778
;266;2019,7288;0,7331;0,0908;0,0026;6051613;2088758;449778
;267;2019,7316;0,6931;0,0849;0,0065;6058946;2089323;449778
;268;2019,7343;1,6607;0,2991;0,0899;6084785;2097088;449778
;269;2019,7369;0,9373;0,1307;0,0154;6096079;2098419;449778
;270;2019,7397;1,7789;0,3022;0,0704;6122188;2104499;449778
;271;2019,7424;0,9534;0,1255;0,0060;6133028;2105021;449778
;272;2019,7452;1,9401;0,2756;0,0207;6156838;2106807;449778
;273;2019,7479;1,6520;0,2319;0,0162;6176870;2108205;449778
